ts,Dtree,nDtree,HK,HDT
1760,4.383960098151907e-06,2.2333842208684708e-05,3.243739274179175e-06,4.165293938600937e-06
1815,5.11310725484695e-06,2.584269302694322e-05,4.257406988920732e-06,5.103519163142071e-06
1870,3.5451056588613374e-06,2.2380672359950853e-05,3.035392787930094e-06,3.678320599531399e-06
1925,3.6619273531701165e-06,2.0162565771061214e-05,2.805496516145584e-06,3.5384653104874317e-06
1980,3.4303446046705456e-06,1.445006809192263e-05,2.591883720502704e-06,3.2708069821811585e-06
2035,3.9831870272015725e-06,9.09673730685917e-06,3.774000628471127e-06,4.5621083511155025e-06
2090,3.443750046360421e-06,6.818922137854257e-06,3.0485726607298314e-06,3.5817130673892523e-06
2145,3.943142494813068e-06,7.1512472255044885e-06,2.86282012773621e-06,3.4969263635921387e-06
2200,4.761918774565485e-06,8.702728697821001e-06,3.827348683858879e-06,4.9599601902509316e-06
2255,4.847556997633956e-06,8.396624983009839e-06,3.828704491312807e-06,5.09333120937606e-06
2310,6.246566932215963e-06,9.00035375577655e-06,3.860714239863164e-06,5.031890417798025e-06
2365,5.675571290743448e-06,9.366318701730467e-06,3.6381063961600226e-06,4.763211746647e-06
2420,5.907221682496995e-06,7.905660791757676e-06,3.6597746037522614e-06,4.710292065882574e-06
2475,3.941330883868655e-06,8.382406150218489e-06,2.796740714226927e-06,3.632738233191073e-06
2530,4.776212838837782e-06,1.1222141458193028e-05,4.226319545754877e-06,5.325066709775597e-06
2585,3.8363210809621975e-06,5.996317215697379e-06,2.651213528016699e-06,3.3296064232084654e-06
2640,3.250662749504688e-06,6.745220897503408e-06,2.461480341370738e-06,3.0075547710208202e-06
2695,5.442811492942846e-06,1.4006552225419998e-05,4.098443003761249e-06,5.4069954701122665e-06
2750,4.861105043982622e-06,1.232681800584041e-05,3.625285124000341e-06,4.977247995630658e-06
2805,3.2201058987786256e-06,9.64874477017245e-06,2.868424172231461e-06,3.6081419345613763e-06
2860,4.737515994392796e-06,1.1791329542573786e-05,3.5501459046232e-06,4.85966526453906e-06
2915,5.74129595587872e-06,1.0786181701563017e-05,3.895886347361422e-06,5.4116633994127694e-06
2970,3.76049887345541e-06,9.805532245959927e-06,3.418962426755394e-06,3.8105356160978846e-06
